sample,key,value
session_info_load_01,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_01,"session-id","3"
session_info_load_01,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_01,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_01,"process","00000000-0000-0000-0000-000000000000"
session_info_load_01,"user-name","DefUser"
session_info_load_01,"host","alko-home"
session_info_load_01,"app-id","1CV8C"
session_info_load_01,"locale","ru"
session_info_load_01,"started-at","2026-02-15T00:10:57"
session_info_load_01,"last-active-at","2026-02-16T00:27:02"
session_info_load_01,"hibernate","no"
session_info_load_01,"passive-session-hibernate-time","1200"
session_info_load_01,"hibernate-session-terminate-time","86400"
session_info_load_01,"blocked-by-dbms","0"
session_info_load_01,"blocked-by-ls","0"
session_info_load_01,"bytes-all","25082260"
session_info_load_01,"bytes-last-5min","4374335"
session_info_load_01,"calls-all","20511"
session_info_load_01,"calls-last-5min","3512"
session_info_load_01,"dbms-bytes-all","35181150"
session_info_load_01,"dbms-bytes-last-5min","5495813"
session_info_load_01,"db-proc-info",""
session_info_load_01,"db-proc-took","0"
session_info_load_01,"db-proc-took-at",""
session_info_load_01,"duration-all","487496"
session_info_load_01,"duration-all-dbms","20314"
session_info_load_01,"duration-current","0"
session_info_load_01,"duration-current-dbms","0"
session_info_load_01,"duration-last-5min","67477"
session_info_load_01,"duration-last-5min-dbms","2971"
session_info_load_01,"memory-current","0"
session_info_load_01,"memory-last-5min","18810053"
session_info_load_01,"memory-total","571737962"
session_info_load_01,"read-current","0"
session_info_load_01,"read-last-5min","859090"
session_info_load_01,"read-total","27825358"
session_info_load_01,"write-current","0"
session_info_load_01,"write-last-5min","120856"
session_info_load_01,"write-total","15271155"
session_info_load_01,"duration-current-service","0"
session_info_load_01,"duration-last-5min-service","2250"
session_info_load_01,"duration-all-service","16018"
session_info_load_01,"current-service-name",""
session_info_load_01,"cpu-time-current","0"
session_info_load_01,"cpu-time-last-5min","26992"
session_info_load_01,"cpu-time-total","192408"
session_info_load_01,"data-separation","''"
session_info_load_01,"client-ip","127.0.0.1"
session_info_load_02,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_02,"session-id","3"
session_info_load_02,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_02,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_02,"process","00000000-0000-0000-0000-000000000000"
session_info_load_02,"user-name","DefUser"
session_info_load_02,"host","alko-home"
session_info_load_02,"app-id","1CV8C"
session_info_load_02,"locale","ru"
session_info_load_02,"started-at","2026-02-15T00:10:57"
session_info_load_02,"last-active-at","2026-02-16T00:27:58"
session_info_load_02,"hibernate","no"
session_info_load_02,"passive-session-hibernate-time","1200"
session_info_load_02,"hibernate-session-terminate-time","86400"
session_info_load_02,"blocked-by-dbms","0"
session_info_load_02,"blocked-by-ls","0"
session_info_load_02,"bytes-all","25518579"
session_info_load_02,"bytes-last-5min","3986869"
session_info_load_02,"calls-all","20837"
session_info_load_02,"calls-last-5min","3176"
session_info_load_02,"dbms-bytes-all","35660531"
session_info_load_02,"dbms-bytes-last-5min","5333374"
session_info_load_02,"db-proc-info",""
session_info_load_02,"db-proc-took","0"
session_info_load_02,"db-proc-took-at",""
session_info_load_02,"duration-all","491786"
session_info_load_02,"duration-all-dbms","20566"
session_info_load_02,"duration-current","0"
session_info_load_02,"duration-current-dbms","0"
session_info_load_02,"duration-last-5min","66726"
session_info_load_02,"duration-last-5min-dbms","2905"
session_info_load_02,"memory-current","0"
session_info_load_02,"memory-last-5min","39457106"
session_info_load_02,"memory-total","592145407"
session_info_load_02,"read-current","0"
session_info_load_02,"read-last-5min","1068960"
session_info_load_02,"read-total","28117454"
session_info_load_02,"write-current","0"
session_info_load_02,"write-last-5min","202023"
session_info_load_02,"write-total","15352322"
session_info_load_02,"duration-current-service","0"
session_info_load_02,"duration-last-5min-service","2273"
session_info_load_02,"duration-all-service","16273"
session_info_load_02,"current-service-name",""
session_info_load_02,"cpu-time-current","0"
session_info_load_02,"cpu-time-last-5min","26581"
session_info_load_02,"cpu-time-total","195998"
session_info_load_02,"data-separation","''"
session_info_load_02,"client-ip","127.0.0.1"
session_info_load_03,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_03,"session-id","3"
session_info_load_03,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_03,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_03,"process","00000000-0000-0000-0000-000000000000"
session_info_load_03,"user-name","DefUser"
session_info_load_03,"host","alko-home"
session_info_load_03,"app-id","1CV8C"
session_info_load_03,"locale","ru"
session_info_load_03,"started-at","2026-02-15T00:10:57"
session_info_load_03,"last-active-at","2026-02-16T00:28:08"
session_info_load_03,"hibernate","no"
session_info_load_03,"passive-session-hibernate-time","1200"
session_info_load_03,"hibernate-session-terminate-time","86400"
session_info_load_03,"blocked-by-dbms","0"
session_info_load_03,"blocked-by-ls","0"
session_info_load_03,"bytes-all","26066043"
session_info_load_03,"bytes-last-5min","4516786"
session_info_load_03,"calls-all","21280"
session_info_load_03,"calls-last-5min","3613"
session_info_load_03,"dbms-bytes-all","36874644"
session_info_load_03,"dbms-bytes-last-5min","6544359"
session_info_load_03,"db-proc-info",""
session_info_load_03,"db-proc-took","0"
session_info_load_03,"db-proc-took-at",""
session_info_load_03,"duration-all","497437"
session_info_load_03,"duration-all-dbms","21460"
session_info_load_03,"duration-current","0"
session_info_load_03,"duration-current-dbms","0"
session_info_load_03,"duration-last-5min","72351"
session_info_load_03,"duration-last-5min-dbms","3797"
session_info_load_03,"memory-current","0"
session_info_load_03,"memory-last-5min","39353066"
session_info_load_03,"memory-total","592039639"
session_info_load_03,"read-current","0"
session_info_load_03,"read-last-5min","1254920"
session_info_load_03,"read-total","28303414"
session_info_load_03,"write-current","0"
session_info_load_03,"write-last-5min","225160"
session_info_load_03,"write-total","15375459"
session_info_load_03,"duration-current-service","0"
session_info_load_03,"duration-last-5min-service","2910"
session_info_load_03,"duration-all-service","16910"
session_info_load_03,"current-service-name",""
session_info_load_03,"cpu-time-current","0"
session_info_load_03,"cpu-time-last-5min","30466"
session_info_load_03,"cpu-time-total","199902"
session_info_load_03,"data-separation","''"
session_info_load_03,"client-ip","127.0.0.1"
session_info_load_04,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_04,"session-id","3"
session_info_load_04,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_04,"connection","e41e750e-56d7-40fb-b2e0-5e71b8e8f508"
session_info_load_04,"process","f77f2c1d-1e5b-4855-a0b9-94390ccd4ce5"
session_info_load_04,"user-name","DefUser"
session_info_load_04,"host","alko-home"
session_info_load_04,"app-id","1CV8C"
session_info_load_04,"locale","ru"
session_info_load_04,"started-at","2026-02-15T00:10:57"
session_info_load_04,"last-active-at","2026-02-16T00:28:19"
session_info_load_04,"hibernate","no"
session_info_load_04,"passive-session-hibernate-time","1200"
session_info_load_04,"hibernate-session-terminate-time","86400"
session_info_load_04,"blocked-by-dbms","0"
session_info_load_04,"blocked-by-ls","0"
session_info_load_04,"bytes-all","26423906"
session_info_load_04,"bytes-last-5min","4874649"
session_info_load_04,"calls-all","21579"
session_info_load_04,"calls-last-5min","3912"
session_info_load_04,"dbms-bytes-all","37506321"
session_info_load_04,"dbms-bytes-last-5min","7176036"
session_info_load_04,"db-proc-info",""
session_info_load_04,"db-proc-took","0"
session_info_load_04,"db-proc-took-at",""
session_info_load_04,"duration-all","501903"
session_info_load_04,"duration-all-dbms","21912"
session_info_load_04,"duration-current","5"
session_info_load_04,"duration-current-dbms","0"
session_info_load_04,"duration-last-5min","76817"
session_info_load_04,"duration-last-5min-dbms","4249"
session_info_load_04,"memory-current","174352"
session_info_load_04,"memory-last-5min","39359969"
session_info_load_04,"memory-total","592046542"
session_info_load_04,"read-current","0"
session_info_load_04,"read-last-5min","1362556"
session_info_load_04,"read-total","28411050"
session_info_load_04,"write-current","0"
session_info_load_04,"write-last-5min","227737"
session_info_load_04,"write-total","15378036"
session_info_load_04,"duration-current-service","0"
session_info_load_04,"duration-last-5min-service","3313"
session_info_load_04,"duration-all-service","17313"
session_info_load_04,"current-service-name",""
session_info_load_04,"cpu-time-current","4"
